row;CustomerNo;Datum;display;storagesize;service;coverage;price;Sentiment
1;5;20170108;0;0;0;0;0;0
2;5;20170108;0;0;0;0;2;0,163299316
3;5;20170108;0;0;0;0;0;0
4;5;20170108;0;0;0;0;0;0,40824829
5;5;20170108;0;0;0;0;0;0
6;5;20170108;0;0;0;0;0;-0,433012702
7;5;20170108;0;0;0;0;0;-0,102062073
8;5;20170108;1;0;0;0;0;0
9;5;20170108;1;0;0;0;0;0
10;5;20170108;0;0;0;0;0;-0,335875721
11;5;20170108;0;0;0;0;0;0,282842712
12;5;20170108;0;0;1;0;0;0
13;5;20170108;0;0;0;0;0;0
14;5;20170108;0;0;0;0;0;-0,510310363
15;5;20170108;0;0;0;0;0;1
16;5;20170108;0;0;0;0;0;0,124807544
17;21;20170110;0;0;0;0;0;0,530330086
18;21;20170110;0;0;0;0;0;0
19;21;20170110;0;0;0;0;0;0
20;21;20170110;0;0;0;0;2;0,5
21;21;20170110;0;0;0;0;1;0
22;21;20170110;0;0;0;0;1;-0,300520382
23;21;20170110;0;0;0;0;1;0
24;21;20170110;0;0;0;0;0;0
25;21;20170110;0;0;0;0;0;0
26;21;20170110;0;0;0;0;1;0,156524758
27;21;20170110;0;0;0;0;0;0
28;21;20170110;0;0;0;0;0;0,3
29;21;20170110;0;0;0;0;0;-0,530330086
30;6;20170119;0;0;0;0;0;0
31;6;20170119;1;0;0;0;0;0
32;6;20170119;0;0;0;0;0;0
33;6;20170119;0;0;0;0;0;-0,530330086
34;6;20170119;0;0;0;0;0;0
35;6;20170119;1;0;0;0;1;0,461880215
36;6;20170119;0;0;0;0;1;0,55
37;25;20170203;0;0;0;0;0;0
38;25;20170203;0;0;0;0;0;-0,132287566
39;25;20170203;0;0;0;0;0;0
40;25;20170203;0;0;0;0;0;0
41;25;20170203;0;0;0;0;0;0
42;25;20170203;0;1;0;0;0;0
43;25;20170203;0;0;0;0;0;0
44;25;20170203;0;0;0;0;0;0
45;25;20170203;0;0;1;0;0;0
46;25;20170203;0;0;0;0;0;0
47;25;20170203;0;0;0;0;0;0
48;25;20170203;0;0;1;0;0;0
49;25;20170203;0;0;0;0;0;0,55
50;2;20170218;0;0;0;0;0;0
51;2;20170218;0;0;0;0;0;0,353553391
52;2;20170218;0;0;0;0;0;0
53;2;20170218;0;0;0;0;1;0,040824829
54;2;20170218;0;0;0;0;0;-0,25
55;2;20170218;0;0;0;0;1;0,244948974
56;2;20170218;0;0;0;0;0;0
57;2;20170218;0;0;0;0;0;0
58;2;20170218;1;0;0;0;0;0,402492236
59;2;20170218;0;0;0;0;1;0
60;2;20170218;0;0;0;0;0;0
61;2;20170218;0;0;0;0;0;-0,144337567
62;2;20170218;0;0;0;0;0;0,75
63;14;20170222;0;0;0;0;0;0,530330086
64;14;20170222;0;0;0;0;0;0
65;14;20170222;0;0;0;0;0;0
66;14;20170222;0;0;0;0;0;0
67;14;20170222;0;0;0;0;0;0
68;14;20170222;0;0;0;0;0;0
69;14;20170222;1;0;0;0;0;0
70;14;20170222;0;0;0;0;0;0
71;14;20170222;1;0;0;0;0;0
72;14;20170222;0;0;0;0;0;0
73;14;20170222;0;0;0;0;0;0,353553391
74;8;20170305;0;0;0;0;0;0
75;8;20170305;0;0;0;0;0;-0,3
76;8;20170305;0;0;0;0;0;0
77;8;20170305;0;0;0;0;2;0,223606798
78;8;20170305;0;0;0;0;0;0
79;8;20170305;0;0;0;0;0;0
